lambda,annual_expected_return,annual_variance,annual_volatility,sharpe_ratio,max_single_weight,max_pair_weight_sum,weight_000333,weight_601318,weight_000895,weight_601398
0.0519,0.201187119794165,0.0200425209824365,0.141571610792689,1.42109790704278,0.399999996728362,0.649999998084337,0.249995697423618,0.100004304492046,0.250000001355974,0.399999996728362
0.052,0.201187119627787,0.0200425209947797,0.141571610836282,1.42109790542997,0.39999999672905,0.649999998072243,0.249995684499127,0.10000431742863,0.250000001343193,0.39999999672905
0.0521,0.201187119465425,0.020042521006836,0.141571610878862,1.42109790385569,0.399999996730023,0.649999998060226,0.249995671879907,0.100004330059867,0.250000001330203,0.399999996730023
0.0522,0.201187119306975,0.020042521018613,0.141571610920456,1.42109790231895,0.399999996731274,0.649999998048282,0.249995659558043,0.100004342393675,0.250000001317008,0.399999996731274
0.0523,0.201187119152346,0.0200425210301173,0.141571610961087,1.42109790081887,0.399999996732812,0.649999998036416,0.249995647526356,0.100004354437228,0.250000001303605,0.399999996732812
0.0524,0.20118711900158,0.0200425210413474,0.141571611000749,1.42109789935579,0.399999996734861,0.649999998024741,0.249995635785469,0.100004366189791,0.25000000128988,0.399999996734861
0.0525,0.201187118854425,0.0200425210523198,0.141571611039501,1.42109789792736,0.399999996737169,0.649999998013131,0.249995624318999,0.10000437766787,0.250000001275962,0.399999996737169
0.0526,0.201187118710783,0.0200425210630413,0.141571611077367,1.42109789653264,0.399999996739729,0.649999998001584,0.24999561311948,0.100004388878936,0.250000001261855,0.399999996739729
0.0527,0.201187118570558,0.0200425210735191,0.141571611114372,1.42109789517069,0.399999996742533,0.649999997990096,0.249995602179562,0.100004399830342,0.250000001247563,0.399999996742533
0.0528,0.201187118433655,0.0200425210837598,0.14157161115054,1.42109789384061,0.399999996745574,0.649999997978663,0.249995591492021,0.100004410529316,0.250000001233089,0.399999996745574
0.0529,0.20118711829998,0.0200425210937702,0.141571611185895,1.4210978925415,0.399999996748843,0.649999997967281,0.249995581049757,0.100004420982962,0.250000001218438,0.399999996748843
0.053,0.201187118169441,0.0200425211035569,0.141571611220459,1.42109789127247,0.399999996752335,0.649999997955948,0.249995570845795,0.100004431198257,0.250000001203613,0.399999996752335
0.0531,0.201187118041949,0.0200425211131262,0.141571611254256,1.42109789003267,0.399999996756042,0.649999997944659,0.249995560873292,0.100004441182049,0.250000001188618,0.399999996756042
0.0532,0.201187117917415,0.0200425211224846,0.141571611287308,1.42109788882124,0.399999996759957,0.649999997933412,0.249995551125532,0.100004450941057,0.250000001173455,0.399999996759957
0.0533,0.201187117795753,0.0200425211316383,0.141571611319637,1.42109788763736,0.399999996764073,0.649999997922202,0.249995541595932,0.100004460481866,0.250000001158129,0.399999996764073
0.0534,0.201187117676878,0.0200425211405933,0.141571611351264,1.4210978864802,0.399999996768384,0.649999997911027,0.249995532278042,0.100004469810931,0.250000001142643,0.399999996768384
0.0535,0.201187117560707,0.0200425211493557,0.141571611382211,1.42109788534898,0.399999996772884,0.649999997899883,0.249995523165545,0.100004478934573,0.250000001126999,0.399999996772884
0.0536,0.201187117447159,0.0200425211579312,0.141571611412497,1.4210978842429,0.399999996777566,0.649999997888766,0.249995514252257,0.100004487858977,0.250000001111201,0.399999996777566
0.0537,0.201187117336153,0.0200425211663255,0.141571611442144,1.42109788316122,0.399999996782423,0.649999997877674,0.249995505532132,0.100004496590194,0.250000001095251,0.399999996782423
0.0538,0.201187117227614,0.0200425211745443,0.141571611471171,1.42109788210317,0.39999999678745,0.649999997866603,0.249995496999255,0.100004505134142,0.250000001079153,0.39999999678745
0.0539,0.201187117121464,0.0200425211825929,0.141571611499597,1.42109788106803,0.399999996792642,0.64999999785555,0.24999548864785,0.1000045134966,0.250000001062908,0.399999996792642
0.054,0.201187117017629,0.0200425211904768,0.141571611527441,1.42109788005508,0.399999996797991,0.649999997844511,0.249995480472274,0.100004521683214,0.250000001046521,0.399999996797991
0.0541,0.201187116916037,0.0200425211982011,0.141571611554722,1.42109787906364,0.399999996803492,0.649999997833485,0.24999547246702,0.100004529699495,0.250000001029992,0.399999996803492
0.0542,0.201187116816618,0.0200425212057709,0.141571611581457,1.42109787809302,0.399999996809141,0.649999997822466,0.249995464626717,0.100004537550818,0.250000001013325,0.399999996809141
0.0543,0.201187116719302,0.0200425212131911,0.141571611607664,1.42109787714256,0.399999996814931,0.649999997811453,0.249995456946126,0.100004545242422,0.250000000996522,0.399999996814931
0.0544,0.201187116624023,0.0200425212204666,0.141571611633359,1.42109787621162,0.399999996820857,0.649999997800442,0.249995449420144,0.100004552779415,0.250000000979585,0.399999996820857
0.0545,0.201187116530715,0.0200425212276021,0.14157161165856,1.42109787529957,0.399999996826914,0.64999999778943,0.249995442043802,0.100004560166769,0.250000000962515,0.399999996826914
0.0546,0.201187116439316,0.0200425212346021,0.141571611683282,1.4210978744058,0.399999996833098,0.649999997778414,0.249995434812262,0.100004567409324,0.250000000945316,0.399999996833098
0.0547,0.201187116349762,0.0200425212414711,0.141571611707542,1.42109787352971,0.399999996839402,0.649999997767391,0.24999542772082,0.100004574511789,0.250000000927989,0.399999996839402
0.0548,0.201187116261994,0.0200425212482134,0.141571611731355,1.42109787267073,0.399999996845823,0.649999997756359,0.2499954207649,0.100004581478742,0.250000000910535,0.399999996845823
0.0549,0.201187116175954,0.0200425212548332,0.141571611754734,1.42109787182829,0.399999996852357,0.649999997745313,0.249995413940057,0.100004588314629,0.250000000892957,0.399999996852357
0.055,0.201187116091584,0.0200425212613346,0.141571611777696,1.42109787100185,0.399999996858997,0.649999997734253,0.249995407241977,0.10000459502377,0.250000000875256,0.399999996858997
0.0551,0.201187115988605,0.0200425212692596,0.141571611805685,1.42109786999349,0.399999996869319,0.649999997722953,0.249995399050005,0.100004603227042,0.250000000853633,0.399999996869319
0.0552,0.201187115864003,0.0200425212788322,0.141571611839494,1.42109786877399,0.39999999688357,0.649999997711354,0.249995389127676,0.10000461316097,0.250000000827784,0.39999999688357
0.0553,0.201187115741926,0.0200425212882151,0.141571611872632,1.42109786757905,0.399999996897419,0.649999997699725,0.249995379406015,0.100004622894259,0.250000000802306,0.399999996897419
0.0554,0.201187115648791,0.0200425212954565,0.141571611898207,1.42109786666446,0.399999996911095,0.649999997689926,0.249995371930962,0.100004630379112,0.250000000778832,0.399999996911095
0.0555,0.201187115564379,0.0200425213020622,0.141571611921537,1.42109786583403,0.399999996924921,0.649999997680439,0.249995365127748,0.100004637191813,0.250000000755518,0.399999996924921
0.0556,0.201187115482786,0.0200425213084584,0.141571611944127,1.42109786503093,0.399999996938495,0.649999997670975,0.249995358545796,0.100004643783229,0.250000000732479,0.399999996938495
0.0557,0.201187115402737,0.0200425213147376,0.141571611966304,1.42109786424289,0.39999999695174,0.64999999766147,0.249995352087664,0.100004650250866,0.25000000070973,0.39999999695174
0.0558,0.201187115428446,0.0200425213133737,0.141571611961487,1.42109786447284,0.399999996971175,0.649999997656582,0.249995353711609,0.100004648631809,0.250000000685407,0.399999996971175
0.0559,0.201187115484356,0.0200425213098206,0.141571611948938,1.42109786499373,0.399999996991949,0.649999997652946,0.249995357649831,0.100004644697223,0.250000000660997,0.399999996991949
0.056,0.201187115541617,0.0200425213061616,0.141571611936015,1.42109786552792,0.399999997012261,0.649999997649276,0.249995361699143,0.100004640651582,0.250000000637015,0.399999997012261
0.0561,0.201187115601493,0.0200425213023104,0.141571611922413,1.42109786608739,0.399999997032235,0.649999997645457,0.249995365953947,0.100004636400596,0.250000000613222,0.399999997032235
0.0562,0.201187115667493,0.0200425212980268,0.141571611907285,1.42109786670544,0.399999997052177,0.649999997641179,0.249995370676659,0.100004631682162,0.250000000589002,0.399999997052177
0.0563,0.201187115734781,0.0200425212936433,0.141571611891803,1.42109786733614,0.399999997071711,0.649999997636855,0.24999537550466,0.100004626858484,0.250000000565145,0.399999997071711
0.0564,0.201187115803323,0.0200425212891624,0.141571611875977,1.42109786797915,0.399999997090853,0.649999997632487,0.249995380435205,0.100004621932307,0.250000000541635,0.399999997090853
0.0565,0.20118711587309,0.0200425212845868,0.141571611859818,1.42109786863417,0.39999999710962,0.649999997628073,0.249995385465619,0.100004616906307,0.250000000518454,0.39999999710962
0.0566,0.201187115944051,0.0200425212799191,0.141571611843332,1.42109786930088,0.399999997128028,0.649999997623614,0.249995390593297,0.100004611783089,0.250000000495586,0.399999997128028
0.0567,0.201187116016175,0.0200425212751616,0.141571611826529,1.421097869979,0.399999997146092,0.649999997619108,0.249995395815704,0.100004606565188,0.250000000473015,0.399999997146092
